person_name_norm,category,film_count,avg_rating
charles howerton,actor,4,4.475
carlos leon,actor,4,4.475
grayson berry,actor,4,4.475
stuart fratkin,actor,4,4.4750000000000005
alan marriott,actor,5,4.4799999999999995
john alderman,actor,5,4.4799999999999995
duane whitaker,actor,5,4.4799999999999995
bruce blain,actor,5,4.4799999999999995
grant george,actor,5,4.48
barry w. levy,actor,5,4.48
brick bronsky,actor,5,4.48
todd jenkins,actor,5,4.48
kaiwi lyman,actor,13,4.4923076923076923
arch hall jr.,actor,3,4.4999999999999991
sean maguire,actor,3,4.4999999999999991
angelo rossitto,actor,5,4.4999999999999991
ken abraham,actor,3,4.4999999999999991
david ellison,actor,3,4.5
samuel davis,actor,3,4.5
andrew burnap,actor,3,4.5
matt hookings,actor,3,4.5
sam chew jr.,actor,3,4.5
cameron douglas,actor,3,4.5
rutger de bekker,actor,3,4.5
vadhir derbez,actor,3,4.5
kris saddler,actor,4,4.5
buddy lewis,actor,3,4.5
john fallon,actor,4,4.5
edwin craig,actor,4,4.5
skyler caleb,actor,3,4.5
ogün kaptanoglu,actor,3,4.5
zion forrest lee,actor,3,4.5
james c. morris,actor,4,4.5
oliver 'power' grant,actor,3,4.5
jason k. wixom,actor,7,4.5
